#Generated over 205 cells

COG4: MMD=0.3000, W2=8.8927
ETF1: MMD=0.3892, W2=9.9811
IARS2: MMD=0.3625, W2=9.4977
TAF1D: MMD=0.2979, W2=8.9336
SRF: MMD=0.2987, W2=8.8632
TERF1: MMD=0.2854, W2=8.9108
RNPS1: MMD=0.2824, W2=8.9899
PSMA7: MMD=0.2947, W2=9.2946
NIFK: MMD=0.3868, W2=9.7979
GNB1L: MMD=0.3065, W2=8.8799
TACC3: MMD=0.3077, W2=9.1442
NAA35: MMD=0.3214, W2=8.9540
CDK7: MMD=0.2859, W2=9.5287
YEATS4: MMD=0.2695, W2=8.8809
FRG2: MMD=0.3051, W2=9.0405
EXOSC3: MMD=0.3152, W2=9.5110
TTF2: MMD=0.2965, W2=9.1105
GET1: MMD=0.2879, W2=8.8934
NOL12: MMD=0.3340, W2=9.2380
PTMA: MMD=0.3836, W2=9.5408
MYC: MMD=0.2510, W2=9.0974
RPA2: MMD=0.3212, W2=9.3813
MRPL53: MMD=0.3252, W2=9.0861
SLC25A26: MMD=0.2801, W2=9.0600
LCE1C: MMD=0.3006, W2=8.9644
SUPT6H: MMD=0.4641, W2=11.4861
SMARCB1: MMD=0.2986, W2=8.9592
MRPS23: MMD=0.2982, W2=8.9864
CHEK1: MMD=0.2912, W2=9.2688
PSMC1: MMD=0.3565, W2=10.1339
WDR74: MMD=0.3151, W2=8.8757
NCAPG: MMD=0.2486, W2=8.9120
STRAP: MMD=0.3460, W2=9.1205
SCAF1: MMD=0.3016, W2=9.3868
OGT: MMD=0.2317, W2=8.7742
BOP1: MMD=0.3271, W2=9.1309
PMPCB: MMD=0.3609, W2=9.6458
USF2: MMD=0.2852, W2=8.8242
OR1E2: MMD=0.2693, W2=8.7933
SNAPC2: MMD=0.2874, W2=8.9448
SUPT16H: MMD=0.3854, W2=9.6797
MRPL35: MMD=0.3155, W2=9.1470
SGPP1: MMD=0.2876, W2=8.7540
UNC45A: MMD=0.3148, W2=9.0442
FAM207A: MMD=0.3201, W2=8.9661
CHCHD4: MMD=0.3059, W2=9.0139
WDR33: MMD=0.3261, W2=9.3387
RPS25: MMD=0.2945, W2=9.1217
PNKP: MMD=0.2855, W2=8.8612
XRCC2: MMD=0.2863, W2=8.9809
PSME1: MMD=0.3560, W2=9.2538
DDX20: MMD=0.3617, W2=9.2943
BRD4: MMD=0.2861, W2=8.9303
SNRPC: MMD=0.3845, W2=9.9776
PABPC1: MMD=0.4158, W2=10.5528
HDAC7: MMD=0.3161, W2=8.8289
EIF1: MMD=0.3573, W2=9.5178
PES1: MMD=0.3272, W2=9.1171
COX5A: MMD=0.3307, W2=9.1621
C12orf45: MMD=0.3583, W2=9.4483
DCTN5: MMD=0.3152, W2=9.2432
GLMN: MMD=0.3155, W2=9.1320
NCKAP1: MMD=0.2933, W2=9.2176
CYS1: MMD=0.3090, W2=8.9391
GSPT1: MMD=0.3993, W2=10.0533
RPL36A: MMD=0.3234, W2=9.2641

Mean MMD: 0.3165 ± 0.0389
Mean W2:  9.1782 ± 0.3894
